,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
3089,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Liverpool John Moores University,0,30,70,0,13.0
3093,"Electrical and Electronic Engineering, Metallurgy and Materials",Liverpool John Moores University,0,30,70,0,7.0
3097,General Engineering,Liverpool John Moores University,0,30,30,40,11.0
3101,"Architecture, Built Environment and Planning",Liverpool John Moores University,0,73.3,26.7,0,17.2
3105,Law,Liverpool John Moores University,0,100,0,0,7.0
3109,Social Work and Social Policy,Liverpool John Moores University,20,80,0,0,8.0
3113,Anthropology and Development Studies,Liverpool John Moores University,40,20,0,0,13.2
3117,Education,Liverpool John Moores University,0,40,60,0,12.8
3121,"Sport and Exercise Sciences, Leisure and Tourism",Liverpool John Moores University,90,10,0,0,34.75
3125,English Language and Literature,Liverpool John Moores University,50,30,20,0,13.4
3129,History,Liverpool John Moores University,0,60,40,0,7.0
3133,"Art and Design: History, Practice and Theory",Liverpool John Moores University,0,70,30,0,8.6
3137,"Communication, Cultural and Media Studies, Library and Information Management",Liverpool John Moores University,20,70,10,0,13.0
3141,Clinical Medicine,Liverpool School of Tropical Medicine,57.8,37.8,4.4,0,31.0
3145,"Public Health, Health Services and Primary Care",Liverpool School of Tropical Medicine,80,20,0,0,4.2
3149,"Art and Design: History, Practice and Theory","University of the Arts, London",46.7,53.3,0,0,109.7
3153,Modern Languages and Linguistics,University of London Institute in Paris,-,-,-,-,3.0
3157,Clinical Medicine,University College London,84.3,12.2,3.5,0,449.74
3161,"Public Health, Health Services and Primary Care",University College London,78.8,16.5,4.7,0,159.75
3165,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University College London,60,40,0,0,34.23
3169,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University College London,66.7,33.3,0,0,46.8
3173,"Psychology, Psychiatry and Neuroscience",University College London,73.3,24,2.7,0,286.6
3177,Biological Sciences,University College London,44,38,14,0,172.9
3181,Earth Systems and Environmental Sciences,University College London,60,32,8,0,34.15
3185,Chemistry,University College London,65.7,22.9,5.7,5.7,62.0
3189,Physics,University College London,30,60,10,0,110.53
3193,Mathematical Sciences,University College London,11.4,54.3,34.3,0,62.95
3197,Computer Science and Informatics,University College London,80,20,0,0,70.7
3201,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University College London,36.7,63.3,0,0,54.16
3205,"Electrical and Electronic Engineering, Metallurgy and Materials",University College London,42,58,0,0,38.0
3209,Civil and Construction Engineering,University College London,8,50,42,0,38.1
3213,General Engineering,University College London,43.3,50,6.7,0,53.7
3217,"Architecture, Built Environment and Planning",University College London,52,42.7,5.3,0,135.93
3221,"Geography, Environmental Studies and Archaeology",University College London,48.6,28.5,17.2,5.7,60.93
3225,"Geography, Environmental Studies and Archaeology",University College London,66,26,8,0,40.4
3229,Economics and Econometrics,University College London,92,8,0,0,36.9
